winner,tickets,opepen_count,checks_tickets,set40,set20,set10,set5,set4,set1
0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1,4076,395,126,"1308, 13800, 12545, 13500, 8146, 11543, 14454, 6299, 7057, 5272, 9324, 12284, 9864, 12743, 7247, 13917, 12429, 9489, 15308, 13954, 14051, 1342, 1430, 11558, 13689, 15074, 7446, 2859, 13636, 4338, 13527, 10071, 14464, 11668, 12112, 7593, 13627, 3793, 9046, 10948, 11616, 15305, 12968, 15233, 9146, 6187, 14455, 11029, 13462, 6306, 14447, 4720, 4441, 4171, 15648, 1611, 12276, 15649, 11323, 14633, 15600, 13443, 13700, 1903, 15717, 5578, 11805, 5495, 5304, 6992, 12250, 6245, 14833, 5886, 11226, 8846, 7503, 9474, 15375, 12252, 11675, 9589, 7264, 13337, 6520, 15993, 15125, 8656, 6059, 12530, 9120, 7932, 11884, 1875, 11256, 6921, 7973, 4077, 13808, 5982, 6953, 9201, 6687, 15098, 2210, 4228, 6472, 9616, 14294, 10997, 12734, 12278, 12125, 9846, 6644, 13590, 15004, 13816, 12093, 9072, 6296, 4027, 12080, 12794, 4172, 13713, 14588, 3928, 8277, 1585, 13453, 15347, 14457, 15890, 6481, 3281, 2441, 6229, 6834, 15956, 8519, 2373, 7950, 7362, 1732, 11274, 9445, 7638, 2431, 6984, 7013, 12495, 14617, 10510, 6145, 2233, 6303, 10018, 9383, 5956, 11258, 8262, 10304, 8744, 7423, 5442, 10901, 14484, 10696, 7845, 12229, 12233, 4012, 1438, 7481, 10733, 11183, 5974, 6911, 12774, 13715, 8882, 7526, 15423, 14302, 10934, 13586, 6304, 14979","1054, 1231, 1268, 3729, 5613, 12872, 3623, 2505, 13393, 1847, 6393, 14137, 3187, 1868, 5969, 5717, 7769, 14381, 11203, 14758, 8556, 7899, 12756, 2258, 10937, 15356, 4366, 6312, 7354, 10255, 2106, 11584, 14797, 9270, 6298, 12214, 14865, 7199, 15166, 13516, 7826, 9171, 6055, 4753, 9086, 14977, 15553, 2502, 13767, 8781, 4263, 14280, 1373, 6309, 12525, 15115, 13568, 10040, 13470, 13557, 9386, 11338, 4956, 12068, 8678, 8655, 14449, 3002, 6305, 11676, 10321, 10327, 12386, 14361, 5348, 10920, 14808, 12464, 12847, 5778, 1693, 12686, 1510, 15554, 12816, 5720, 11698, 6895, 7194, 13196, 14549, 9653, 9428, 13191, 12044, 5701, 7996, 6156","462, 13608, 4183, 13212, 4760, 11679, 8768, 9296, 9916, 13742, 14165, 11916, 10786, 3832, 1734, 9041, 15020, 3963, 1395, 12620, 6876, 13087, 5280, 11382, 2773, 6601, 1982, 10059, 8407, 5748, 3591, 12697, 1639, 6379, 6314, 8054, 14594, 14704, 7133, 14450, 10835, 3432, 13016, 11106","13262, 8949, 9738, 8482, 8268, 1434, 14264, 15935, 10518, 10593, 15097, 12741, 1560, 10778, 13105, 10250, 11725, 5877, 4842, 2806, 10592, 14013, 9594, 7688, 3754, 15703, 9655, 8571, 2453, 10734, 3307, 1989, 15096, 13655, 6869, 10623","7981, 2827, 8836, 530, 9800, 9129, 9425, 12632, 10998, 13189, 5706, 7729, 14397, 4670, 8724, 13999, 12235, 9280, 14494, 12746, 14125, 5217","431, 8664, 7524, 14520, 3433, 10313"
0x16a2ebd556af2a39eba349be7d6eba7a57c47711,1312,122,92,"551, 581, 598, 660, 7000, 2039, 15683, 4007, 8078, 2448, 6829, 2454, 2227, 7192, 9374, 15409, 3776, 8873, 983, 3764, 2428, 3168, 3730, 6456, 1962, 1277, 5414, 8288, 5678, 9119, 4024, 1031, 3868, 9898, 1170, 7774, 4269, 2030, 1360, 6764, 3878, 1613, 1631, 2204, 2036, 12293, 6529, 5005, 7773, 2297, 4848, 1952, 13666, 2021","51, 92, 98, 8807, 865, 946, 10036, 8008, 5234, 8214, 724, 4141, 2041, 967, 5095, 6391, 3669, 1800, 7880, 8302, 1796, 619, 2025, 6000, 8080, 3561, 1978, 6696, 6789, 822, 8575, 819, 317, 10680, 9571","806, 5445, 1003, 495, 4767, 914, 7766, 2833, 5345, 1863, 732, 320, 10980, 1676, 7070, 6179, 5513","272, 786, 930, 1317, 14242, 696, 2010","1157, 8899, 15776, 940, 1938, 11037, 6080","45, 2008"
0xd52fba65a52214a65c78dc7f95c9fee1f13a5955,1269,94,329,"9900, 9295, 2548, 5216, 9767, 5626, 10740, 7700, 9228, 10485, 5988, 15995, 4219, 15809, 13339, 4988, 8930, 12319, 2884","1443, 1464, 1599, 1698, 1854, 1966, 2232, 2364, 5295, 3104, 12787, 11994, 14377, 2617, 9205, 3237, 15959, 5593, 3720, 12607, 15865, 4811, 5262, 13757, 8344, 9025, 12216, 10034, 10809, 13694, 12318, 2725, 10161, 3628, 4223, 15820, 12531, 9953, 5306","1320, 14817, 7121, 15044, 9948, 13904, 12343, 5504, 4758, 13790, 2698, 4371, 4139, 10819, 11149, 16000, 10559, 4624, 11979, 8658, 10014, 4865","11071, 7372, 6441, 1425, 5749, 6559, 2121","1193, 4528, 5703","562, 686, 1036, 1187"
0x5efdb6d8c798c2c2bea5b1961982a5944f92a5c1,726,29,436,,"8585, 11436, 12039, 14498, 11914, 14221","7529, 8089, 8117, 12027, 11816, 13436","1882, 2696, 3758, 5244, 5346, 6945, 11387, 14431, 15990, 7824","1401, 1771, 5390, 6562","955, 6684, 5391"
0xc0dcce9d4f0e5dbf20dc2631786550dbdeebf756,234,17,64,"3268, 2052, 2273, 12397, 13935, 3656","11669, 8732, 14958, 9684, 14891, 6948, 7596","9237, 12552",3019,,281
0x3c1bee74ff0d159ab06b6113417fc536499057c6,252,17,82,"3759, 10104, 11334, 15994, 2362, 13625, 9151, 5451, 11715","14504, 1797, 10968","11162, 10150, 5960",,14300,1257
0x5f45c7ea2e094fea813a8a8813620ffcc4a19d0f,230,16,70,13796,"7658, 8914, 12383, 12715, 13622, 9375, 10845, 14589","15987, 4547","8075, 9753",9954,"1874, 14597"
0xc8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a,303,15,153,,"1541, 5432, 9349, 9926, 10331, 12843, 15612","1530, 7827, 10813, 6845, 5259",305,,"145, 10362"
0x12c29df62b1b254e1311bef777a37bf8c575b58d,215,15,65,"5924, 11438, 6803, 8215","15999, 12322, 13021, 6085, 15659, 12237, 10903","12358, 14385",5341,,4450
0xe3603cf313dcd49cc3061c9850a474d40aa81159,198,13,68,"9494, 14968, 1150","6699, 2365, 9675, 1103","15989, 2055, 1931",8082,,"151, 2442"
0x1f8615a2caa4c8ab08bf1312e022341022c90e37,217,12,97,11233,"1738, 1770, 3973, 12053, 11332, 7573",9292,"1403, 13987",1792,444
0x962a7d642178c87eeec92240669ec98f868dc54e,181,9,91,,"333, 7832, 9022, 15988","15861, 8399","7462, 7515",,100
0x881475210e75b814d5b711090a064942b6f30605,161,9,71,,"4020, 1688","2144, 15986","8210, 7010, 6280",1480,255
0x188386d433e070826ef3a2ca5d9edf595aa441de,155,9,65,14955,10140,"13704, 12822, 4702, 15739, 5467, 15997",,,4352
0x324111baf9886e0456d74cef0ecbd49ed0779ee1,121,4,81,,,15991,14374,750,343
0x7a3cf7122eb2e3f3820f0afaaac4206cdc50bd7e,94,3,64,,"14572, 15996",,,,14462
0x694a0cf945ae8ee9536c07ce6246d60a65f32f3c,94,3,64,,,15998,,15949,1091
0x51787a2c56d710c68140bdadefd3a98bff96feb4,117,2,97,,,,,7333,4100
0x4f55fd3b7ec169a364e34eb7f523ca5ceb12c888,84,2,64,,,,15985,,3886
0xe5b0a257f0420ed4860d5d431e6ad6744da08405,87,2,67,,15805,,,,1983
0x721fe9de376bd927bb15fd25de41bf3d420b8c07,82,1,72,,,,,,1001
0x81eef2d7c4033c3224660b6a5d4b4a4727f1c762,96,1,86,,,,,,15992
0xefd2e444cd376715eb5d73ce93dbf33c18e8f12c,10,1,0,,,,,,5089
0xde5469f19ba75b0778aee9aa65775c807e25d80a,469,45,19,"7198, 12074, 5476, 13890, 15887, 2714, 3276, 3645, 13241, 13710, 904, 1648, 4240, 2712, 12532, 8636, 4310, 5767, 13495, 5630, 8798, 4253, 910, 3989, 12183, 762, 7430, 14818, 9879, 3009, 8306, 3077","14213, 9352, 14875, 3897, 667","1855, 5761, 11752","14592, 14987, 1711",1139,7565
0xec6ad9133a19f39f53d365b242e695f45579d71c,443,44,3,"1933, 14845, 4133, 5429, 1942, 4167, 13305, 15552, 14570, 10163, 8431, 11826, 10472, 12079, 13517, 5935, 2462, 6645, 13670, 15895, 4280","1729, 11354, 6273, 2682, 12613, 11380, 4277, 2084, 8695, 4951, 4759, 13006, 15198, 11548","14687, 4022, 8113","11595, 13456, 3995",9858,"9532, 7064"
0xa0930593665dd4ac1c6e044e0113c9d1ceb2f1a3,370,37,0,"1192, 3158, 13449, 13084, 3869, 2343, 14335, 14658, 12920, 13512, 13245, 13423, 8015, 3147, 10364, 15611, 3316, 2671","3174, 12824, 3852, 9575, 14311, 3062, 9645, 5047","12921, 13214, 13607, 13475, 11277, 13104, 6176",13759,"10531, 15899",12091
0x387cba805a719a1613488e489a8e7f0de63aed14,70,7,0,"9300, 5238, 15921, 1932",8523,,2774,,4115
0x5f3f6dd893a49ba95a215aedb221db144973adb5,60,6,0,"6037, 4090","5649, 15707",,,14525,4308
0x528f2818e5c61b4270f03733ac9daf9eccd47548,38,3,8,,2309,634,,,1323
0x3e77fe1e72f93e891691831e684997e0de75b35f,30,3,0,,14029,,,5546,3511
0xf56345338cb4cddaf915ebef3bfde63e70fe3053,6676,666,16,"1694, 3488, 6220, 6117, 768, 12150, 8144, 7812, 7916, 14720, 15884, 14545, 12736, 13020, 15726, 12102, 11820, 8973, 3779, 14628, 15888, 14663, 12171, 3243, 9670, 11018, 13952, 13612, 12906, 8251, 8328, 3015, 12745, 6535, 4797, 4093, 12664, 1723, 11835, 11529, 7434, 9029, 13958, 15077, 12309, 15116, 11225, 9156, 11348, 4754, 10165, 11774, 9611, 7647, 12099, 12220, 6664, 1376, 6325, 4036, 4011, 6218, 9297, 8570, 10713, 7819, 10994, 12195, 2367, 1080, 11458, 4638, 4066, 5174, 6792, 4144, 5755, 3777, 8904, 13946, 10993, 10782, 4869, 15871, 3683, 2925, 5121, 9783, 13626, 6937, 9528, 8138, 12842, 15132, 3827, 3173, 4682, 8520, 7538, 11833, 5543, 10232, 2732, 9268, 8083, 1377, 12974, 4050, 12592, 9275, 8794, 15376, 14890, 5070, 8362, 1281, 11098, 15542, 10375, 3681, 8758, 13408, 5048, 13696, 14586, 12676, 11608, 9145, 15657, 4917, 3945, 8710, 7076, 15597, 7257, 3736, 7043, 9929, 3741, 4765, 14780, 10129, 5122, 4053, 9399, 9405, 8136, 4541, 6597, 3936, 4509, 6502, 15027, 11524, 10005, 12180, 15933, 4146, 2201, 5190, 2231, 6324, 4940, 10580, 12554, 3702, 12933, 11732, 10418, 10540, 5060, 12330, 7510, 8830, 1958, 10147, 7842, 10082, 3713, 11582, 7425, 8331, 3585, 7633, 9652, 7136, 2903, 4163, 5314, 5116, 5236, 12320, 7104, 5268, 15121, 12200, 13667, 12003, 15247, 6735, 1456, 2956, 1186, 3755, 3954, 8703, 15137, 12143, 3263, 12943, 4181, 3997, 9330, 14775, 9607, 4565, 3994, 15169, 12643, 8127, 9632, 15573, 14850, 6828, 8427, 14904, 7994, 14035, 15824, 1482, 14770, 8990, 8266, 6519, 7779, 8055, 8988, 11575, 4975, 2862, 7383, 15046, 14180, 7074, 12598, 1418, 8978, 13133, 2946, 2478, 3891, 3494, 9147, 2757, 1758, 13725, 4647, 14892, 8940, 14676, 6674, 11425, 2576, 10842, 15126, 11439, 9722, 7599, 9618, 10610, 13041, 11410, 11980, 10435, 7411, 10343, 9541, 6825, 12360, 908, 2602, 7653, 3890, 12132, 952, 5074, 10198, 2768, 7948, 5210, 11719, 13258, 11228, 7532, 8401, 8953, 11014, 5138, 10105, 6619, 7060, 6331, 7933, 2896, 13925, 9614, 9642, 11059, 11841, 11629, 15190, 1840, 9970, 12642, 10828, 10555, 10194, 9273, 4397, 10046, 11191, 10992, 13098, 14747, 15089, 7712, 6578, 1132, 4922, 3356, 9177, 13130, 15119, 13720, 6617, 5772, 8429, 14612, 2378, 1026, 14626, 14127, 2281, 13198, 8170, 11270, 11412, 8767, 11068, 9373, 4309, 4662, 5350, 12825, 14906, 9513, 6634, 10967, 4838, 11603, 14960","7789, 9866, 7386, 2681, 8871, 11750, 9937, 6971, 11118, 13914, 14764, 5618, 14767, 14388, 8867, 9368, 12092, 12897, 15218, 5281, 9213, 6183, 15301, 4120, 8408, 9045, 12594, 9066, 1887, 12567, 12182, 5105, 11602, 12441, 10484, 10397, 8562, 3606, 15497, 14014, 8467, 11381, 13693, 14351, 10805, 11492, 15923, 5580, 15140, 9006, 6570, 15015, 3482, 12296, 2847, 3046, 7843, 7124, 3638, 3251, 6386, 12010, 2404, 5474, 13811, 14620, 14325, 3796, 12334, 8392, 10319, 11057, 10688, 8640, 11585, 9843, 9170, 15421, 10164, 7985, 6001, 4456, 13463, 8094, 6401, 10233, 2080, 1740, 5943, 4344, 9283, 718, 10672, 6140, 15297, 5596, 12914, 3068, 7630, 7642, 8329, 11036, 5408, 9274, 9796, 11527, 8375, 1935, 6141, 10586, 5093, 12959, 8255, 5437, 7595, 9811, 2719, 3079, 13506, 14316, 2073, 10083, 9656, 2704, 11105, 4302, 5007, 11621, 2547, 11988, 2366, 4374, 15948, 9117, 15037, 10673, 9677, 9573, 7427, 12926, 13841, 6796, 13054, 14392, 8536, 1705, 11046, 8739, 12859, 11214, 14355, 3508, 10350, 2351, 11737, 11771, 11963, 11761, 14430, 1075, 14293, 15737, 8357, 10337, 6110, 11930","13628, 5958, 3250, 11305, 8924, 5788, 14223, 8024, 13882, 9210, 4882, 11999, 14110, 11108, 10607, 13869, 5224, 13163, 7920, 8272, 4501, 11083, 8825, 12826, 13205, 13639, 8220, 5998, 8343, 15544, 10079, 1392, 5066, 12244, 9905, 1619, 13791, 6222, 12298, 1953, 13110, 8639, 11688, 7234, 9666, 15681, 9095, 12810, 14516, 12854, 6758, 8489, 8287, 719, 4196, 1714, 13815, 2785, 3805, 6398, 4333, 4955, 14702, 6466, 14641, 11951, 3685","454, 8320, 10716, 2921, 10060, 8731, 1674, 3311, 11040, 11048, 15844, 8373, 12888, 13758, 1416, 2929, 10861, 3579, 9744, 15443, 10268, 14406, 6422, 11294, 5303, 5119, 2139, 2141, 2520, 9008, 14384, 13956, 15779, 13386, 1468","2720, 8289, 13340, 5791, 10090, 10707, 14243, 11276, 4127, 8045, 4600, 13435, 9770, 534, 15413, 13885, 4615, 6769, 14112, 6071, 1081, 15838, 13185, 1276, 5443, 7289, 12130, 11765, 9097, 7833, 935","8705, 15539, 13799, 1359, 15869, 5698"
0x4463c1b91e0e80ee5372a938b5bf023eafe5622c,57,5,7,"8187, 13843",5130,10547,,,8369
0xc4d09e6182ca48cd7f248fed88c5f3a70e2af58a,12,1,2,,,,,,3291
0xbe5ef03aa44f7c32e58ac71fd22802b7571e6a6b,42,4,2,"6856, 12114",4187,,,,10055
0x5aa341385fa9021eea9e789a0e9a7a6f0dabb670,10,1,0,,,,,,15028
0xdcbac4d63cb97a6e075fe77e75b06c691d75ebc0,160,16,0,"12660, 13480, 14967, 9470, 9367, 7547, 5143, 12398, 7968, 8257",9005,"11566, 12316","12415, 5344",,8101
0x3689c216f8f6ce7e2ce2a27c81a23096a787f532,5487,538,107,"1116, 1179, 1182, 1199, 1211, 1258, 1280, 1328, 12425, 4763, 14743, 1736, 4221, 14831, 7315, 2941, 7966, 2225, 6153, 5036, 1567, 6495, 7211, 7793, 3934, 8537, 11580, 4532, 2310, 6963, 7687, 15768, 4943, 1941, 8297, 3376, 10736, 14409, 4130, 6342, 11779, 12612, 4636, 4298, 13784, 10691, 11177, 15283, 9787, 14829, 11103, 7489, 15669, 14993, 5199, 7469, 11187, 8852, 4345, 4213, 14648, 8217, 11804, 9333, 14779, 10557, 4324, 3941, 7318, 3599, 11842, 1632, 4003, 12279, 6068, 5908, 7974, 15942, 1545, 7368, 12936, 11158, 7102, 11353, 12186, 4515, 13237, 9671, 12773, 3041, 13329, 9038, 9484, 6005, 11473, 4058, 9561, 2877, 6511, 6221, 8588, 9390, 8729, 11913, 15926, 7668, 13366, 15130, 5165, 10528, 4049, 15471, 8074, 11039, 14821, 8245, 2589, 10595, 13769, 1368, 6318, 8642, 15876, 15519, 7878, 7695, 13290, 15384, 2723, 3721, 5855, 7239, 12922, 4315, 10599, 4961, 8295, 6750, 10888, 14970, 11416, 2866, 13326, 13454, 6041, 6909, 11891, 2321, 5225, 15206, 5859, 10262, 12995, 6209, 8242, 2920, 12058, 8691, 11559, 9729, 14172, 12045, 7387, 13588, 9181, 12137, 5402, 8779, 10448, 7552, 10628, 5450, 13510, 2136, 4862, 8532, 5973, 3518, 7501, 7167, 3921, 3695, 13193, 4270, 7970, 8966, 3438, 15330, 7629, 6026, 7471, 1489, 1785, 14610, 5254, 15709, 13270, 5914, 4362, 2763, 3229, 4491, 10204, 14832, 14344, 4256, 7605, 9463, 4535, 12185, 6132, 14945, 8027, 13536, 7068, 2169, 12792, 12962, 2329, 4582, 13169, 1964, 12227, 5822, 8558, 13768, 4542, 13930, 12510, 11189, 7624, 5818, 4620, 14333, 3411, 14370, 5492, 6893, 5977, 10739, 15002, 15784, 8031, 2357, 14435, 12596, 12073, 10231, 12454, 4437, 6509, 15025, 4757","459, 849, 924, 1087, 9417, 10959, 6020, 4419, 4360, 6288, 11337, 6102, 15341, 3927, 1703, 15150, 14661, 5159, 14301, 15487, 13103, 2745, 2528, 15575, 9049, 4293, 3944, 13840, 8196, 14725, 10099, 15437, 14950, 15617, 7935, 5735, 8163, 7066, 1610, 14656, 1914, 14949, 6652, 1573, 5686, 11738, 4619, 7284, 7455, 11032, 6815, 1232, 4175, 6707, 13118, 6806, 3308, 12559, 8942, 15794, 13982, 1223, 12731, 4355, 8410, 3223, 7709, 8479, 15656, 8222, 7921, 5528, 14921, 4373, 1908, 10414, 7459, 4041, 10701, 15719, 4085, 8243, 4790, 2654, 11563, 8017, 15672, 4134, 6207, 14869, 2628, 3007, 12030, 13847, 11272, 3184, 13603, 3748, 5381, 6022, 15361, 9651, 3063, 3903, 6586, 11713, 7011, 7330, 8175, 6858, 5471, 13824, 12881, 11132, 4080, 9335, 2471, 13092, 11411, 6076, 9316, 4773, 6627, 12281, 5094, 13831, 14997, 15889, 14279, 12151, 12910, 5453, 11731, 15864, 15591, 13765, 3584, 4965, 3828, 3835, 4613","326, 4803, 4247, 11506, 7442, 8918, 3064, 4584, 2919, 12440, 5980, 9277, 13023, 13507, 13317, 6373, 6936, 4556, 8422, 13359, 15509, 1846, 4914, 15156, 15761, 8380, 1118, 14169, 15512, 12096, 14709, 6515, 11243, 7231, 15950, 9578, 13837, 10120, 15682, 6630, 1515, 11350, 8511, 11322, 15508, 4843, 9178, 11829, 9322, 3937, 10251, 848, 14009, 4997, 3510, 15122, 9230, 3913, 15436, 11604, 2951, 10899, 9549, 10117, 15622, 7031, 4089, 13153, 15231, 7389, 10664, 14198, 11757, 12758, 10493, 14692, 8692, 11586","1, 6002, 2194, 14693, 13162, 9173, 11388, 4626, 1646, 6968, 13621, 13438, 7967, 13138, 11275, 2465, 7154, 3057, 9832, 12705, 13504, 6739, 8909, 11638, 5288, 2830, 14811, 2596","4329, 2092, 15205, 15223, 8609, 4772, 13880, 11269, 4577, 14788, 13878, 13839, 13482, 10370, 11135, 3119, 14048, 7558, 12187, 11464, 5250, 7823, 12377, 3279, 3984, 5936, 14854, 9247, 9482, 1565, 3427","8528, 9027, 4941, 4390, 3699, 6820, 10126"
0x49440c6cdc8685ad498bfa2e148c213f9318f192,80,8,0,"3969, 10971, 6540, 1455, 15621, 1780",12077,,,,13037
0xc236d48c63ff22339812cb359da9b8d75996664b,11,1,1,,,,,,960
0x16031ac955fd47dcf5c92baeb9f2e8809df611ea,20,2,0,,10887,,,,12145
0x377fd70d10278af291be7ed64d1489acaee866a0,80,8,0,"12201, 15163, 14149",,"11321, 9844, 5718",,,"2140, 12989"
0xac0a18006825262a8bdcf9106cf364d62fda183d,80,8,0,"11089, 11080, 4097",10818,"3506, 5672, 11084",,,2829
0x9ba58eea1ea9abdea25ba83603d54f6d9a01e506,951,95,1,"15410, 10741, 624, 10973, 2625, 1616, 13572, 2472, 682, 1519, 14241, 10699, 11396, 2325, 5634, 6927, 11031, 677, 13525, 1527, 685, 2733, 1559, 284, 4566, 13751, 2242, 14265, 2324, 1260, 2251, 680, 4886, 6235, 10077, 1065, 12071, 620, 428, 12947, 15164, 2387, 923, 1064, 7611, 1655, 446, 1919, 2959, 681, 412, 4502, 3814, 629","6613, 1153, 5261, 2755, 698, 5164, 3573, 1844, 2850, 2639, 2153, 1701, 1261, 2629, 8355, 1695, 6470, 2615, 9728, 11886, 5153, 10325","323, 7625, 2062, 4611, 436, 4072, 1174, 12919, 329, 9110","8455, 14060, 2616","8186, 14256, 1533, 2280, 6410",2974
0x4887634010a5f951af5532423934f626dea3f391,1190,119,0,"2792, 5648, 4507, 12238, 10966, 11180, 7680, 13207, 12929, 12310, 9852, 14364, 3602, 4572, 13396, 11043, 2891, 14932, 9750, 11316, 3343, 15877, 9754, 15584, 14506, 7681, 11803, 4871, 3431, 7452, 9492, 8318, 8006, 9604, 14858, 14058, 13058, 13505, 8908, 11076, 11590, 9730, 12740, 9182, 9065, 9650, 8793, 6716, 6915, 7677, 15924, 6852, 9615, 14722, 1516, 13794, 1681, 15750, 11386, 5483, 11418, 8726, 12380, 10719, 3312, 8699, 11959, 2530, 9802, 6646, 5644, 1477, 7311, 2263, 15447, 9805","11211, 1209, 2244, 4723, 4530, 14129, 14266, 6875, 6536, 1093, 1487, 11786, 8796, 2409, 15241, 6964, 13271, 5895, 6313, 10823, 7339, 13974, 10745, 4531, 8533, 1335, 8084","5875, 4432, 4883, 7649, 7637, 11230, 7482, 6015, 8403, 8919, 2396","9196, 9562, 15256",3413,3382
0x46a7c8dcfe451bb8d504f6120cc1c5f93d7b9f9e,330,33,0,"3000, 11000, 937, 346, 778, 783, 892, 13377, 7888, 3030, 13372, 14888, 5000, 8887, 15000, 298, 387, 8883","280, 11112, 13232, 950, 467, 14000, 15777, 8886, 339, 867",389,12321,"13371, 246",232
0xef917e14a07b339bfe4821093d9f12d215854cc1,22,2,2,14998,,,,,1905
0x1f3f5165f0aeaee95368bd29a701d085012ed952,30,3,0,14141,,,14402,,11210
0x91564767f0a5ede4c657e2e1c78242925a180b97,10,1,0,,,,,,15270
0xaef056433bf65557db2ed49691534994a551b2f9,80,8,0,"10111, 455",12730,"909, 3424","5050, 5448",,314
0x9e78a135e4feafe67361aa16842d834f26a9d578,25,2,5,11188,,,,,3750
0x344747a39f74ce332289e30cd7a1174840c69084,230,23,0,"4445, 7560, 13708, 15129, 5798, 8185, 1112, 95, 796, 15486","1675, 4979, 10128, 7280, 991, 9795, 453","7129, 6384, 3679, 8019",,9689,3409
0x9b4e84706ee5b00b19fd3630c148c9a40db0565e,100,10,0,"4496, 5999, 1566","12338, 12378, 12059, 13571",11035,,8393,1501
0x0d5b012aef4c819328721162cc5ba06f72f4cf35,10,1,0,,,,,,14403
0xa2c7ad60079eb9261ca497612ce5e6e33ed64dba,10,1,0,,,,,,9441
0x3f56121e9d140305adb81ecab3c82550e237e8f2,240,24,0,"921, 12468, 1872, 6018, 8148, 15789, 14272, 4170, 15860, 10509","520, 8441, 10048, 10760, 7556, 9124, 14062","10923, 13079, 13117","1265, 15766",,"13159, 12672"
0x99b8226ec774c957ffe2747fdfbae8f22741e899,211,21,1,"6089, 5352, 9183, 3467, 14069, 14907, 5889, 1057, 3367, 2965, 2051, 14199, 3500","11302, 10659","14274, 11297, 13059",,"13899, 3968",9319
0xc3856a3a70832ffc6cd678dd0a674b680ba8ce44,54,5,4,"61, 585","497, 122",,,,498
0x229fd4fc7ca05e61d626ea0d8fe2622ab01fcf6f,91,4,51,,,8741,"8733, 12764",,3351
0xb756d6b49fcea3e770b7dcf0f4ad144911a7a782,70,7,0,"10316, 6188, 4972",5311,,,"11235, 9962",12759
0x802c368103d83a25d13597b9f3ca126a90e8c98f,490,49,0,"7448, 4548, 3501, 14041, 13053, 4271, 15255, 6650, 8859, 5317, 15731, 13722, 15783, 10442, 15494, 14081, 2711, 4388, 15697, 11123, 8650, 4732, 3128, 5687, 13783, 6999, 3647, 6061, 9785, 11653","11594, 5893, 12120, 8910, 13934, 15488, 11770","11172, 12072, 9863, 13147, 11093","12887, 13665","6809, 14225, 7131","7604, 6891"
0x3d8648ddcf10f0dede9ac8d49857abd564cd56f8,30,3,0,4067,11157,,,,13916
0xf99f1bea3d3dae6a2ec3f2733ea8ad8025fd239b,520,45,70,"3507, 4243, 4307, 4524, 4864, 5675, 5158, 6682, 8693, 5588, 6787, 12679, 13227, 9263, 9641, 5570, 5990, 8067, 11768, 11929, 9972","2241, 2372, 3172, 9896, 6527, 9224, 4154, 6503, 13154, 7830, 6602, 5185, 5082, 7114","2161, 9649, 7986, 5746, 2319, 6880",1013,"2283, 10991",14185
0x468e17d14960d3bd796ebd2a27299df02ca9add8,30,3,0,"15976, 14634",,,,,2873
0xcb43078c32423f5348cab5885911c3b5fae217f9,940,90,40,"99, 9922, 8598, 6463, 2380, 5283, 5653, 9680, 6003, 5186, 8264, 12444, 7672, 15874, 3700, 12951, 13863, 2776, 9409, 9451, 2700, 1011, 11840, 3530, 14547, 15368, 3348, 14683, 9968, 2604, 15706, 14959, 6925, 11569, 12428, 12819, 2320","90, 6065, 2417, 14309, 2276, 3632, 1453, 8132, 3101, 11553, 3806, 11186, 9321, 12299, 5610, 13803, 12814, 12647, 4250, 12710, 3093, 12392, 11219, 8755, 9736, 9472, 11325","72, 13844, 15969, 13663, 14434, 5118, 6263, 2415, 7804, 10579, 1146, 6448, 12796, 10877","70, 15564, 6435, 3481, 8115","13640, 5826, 3858, 6078, 12616","10633, 14718"
0x4d33d84f667f22644b09f501f09ccbd3e876c68e,40,4,0,3613,,7181,12687,,2466
0x937c63bf510fbf48f34e500778feeecf40cacffb,11,1,1,,,,,,1459
0x2a15ec623c093979af48a74dd50f15c953ce5141,141,13,11,"10247, 11922, 5560, 476, 5219, 11637","3568, 2524, 11489, 15872, 12487",,9385,,2330
0xb69cd25391df0b18e6cafe9dd61b966388d6beec,285,26,25,"1085, 2499, 1636, 14337, 10028, 6023, 14685, 15870, 4384, 4874","10097, 9563, 13546, 10635, 6258, 10413, 6021, 3811, 14352, 7530, 8486","13804, 5971",5590,14102,9469
0x6153a3300617f1eb511d3f890e872fa5f87c2d6e,10,1,0,,,,,,2222
0xc31ba2d3275a397c43b1a4ab707cd79adf310233,20,2,0,15506,,,,,7808
0x355d94427517b9f39d9c0a24357dd4f650f1a449,80,8,0,"13017, 5934, 8788, 5737, 10324, 14721",,,,,"6370, 11952"
0x84649ab570f6a4e179a65fcc2f14aafd363680db,18,1,8,,,,,,10649
0xa365160a1c01cf09359dca31f948abe59dd4f345,30,3,0,4245,6103,,,,11644
0x4ee12c95dea425d7c1d8e3f0239416a128a68a68,370,37,0,"7671, 5125, 2644, 13407, 13675, 5396, 15350, 15747, 8334, 10223, 10217, 7392, 14073, 8311, 12178, 15214, 13898, 15808, 14219","15857, 14816, 457, 4574, 12489, 1879, 8466","12935, 15905, 13550, 10611","7406, 14827, 10797",10379,"4710, 11493, 1786"
