winner,tickets,opepen_count,checks_tickets,set40,set20,set10,set5,set4,set1
0xabbcc02888e17e7940d5efa21d3e6ef14af7ee21,10,1,0,5734,,,,,
0xc1d02e548128f36eacc7ae6eded51bf2b193dc3c,20,2,0,"9961, 8561",,,,,
0xff48bd7be1479b48d6352adbc6e4022d27c2f35e,10,1,0,3023,,,,,
0xf983ba6d44950282bf710977181bd803f2a9e915,10,1,0,9697,,,,,
0xcd8e418f410ea9da8ccf2935a88265499756088f,10,1,0,9232,,,,,
0xd739b877a312aabaad9e0b6104c756d946903cbe,10,1,0,9837,,,,,
0xa659364b43d4e151a2a9ec3cc283172b2a44ecdc,10,1,0,24,,,,,
0x7b41b76d6c816ba19671c5120e957de9992e7199,12,1,2,7067,,,,,
0xa8a33539960ef4779cb0eceded8002c1ecd40582,10,1,0,11383,,,,,
0x9879d4b8386fbfb6a411f721ac3652b48ac04838,10,1,0,11936,,,,,
0xf2e2e65f760934cb04127fc82fc3267e51c65a3c,21,2,1,"325, 775",,,,,
0xb08d161278ecd51c11f01db1862ef5b041956288,10,1,0,2278,,,,,
0x711d69cfe199e0cc726b02a9c9f5e3ed30be59fd,10,1,0,461,,,,,
0xbb5113d9d3179f7d9b0f18fe5f36fe83b114baea,11,1,1,2612,,,,,
0x4de41a3a55eb23c714938309e0d3172d04903d20,10,1,0,5872,,,,,
0xbf02a32ee6e8570d76d510bfa9bcab2a4f651e80,10,1,0,540,,,,,
0xc1af79ab83ee91de7ddb51db0edafe0ff312208a,10,1,0,10756,,,,,
0xbc383f62f67101c0277890a2eb74e27e27e6698f,10,1,0,6480,,,,,
0x9ae1984eb697ff8419101fc860e0ae19d1564064,10,1,0,10981,,,,,
0x29305910d110e24776053ba1376fb85a2ae2bf05,11,1,1,12128,,,,,
0xae2b35ab644053a7f410eb81b8979a36b019ac3c,10,1,0,10645,,,,,
0x4f3ce4e2735406ad01f0f8430dde7418a7b03264,10,1,0,6138,,,,,
0x0da6df9f5710cb24de6cf018e4294d8b82dbaa02,30,3,0,"793, 728, 4730",,,,,
0x7d6980fa5a4762e20b52fc7264d9853fe856b69b,10,1,0,12750,,,,,
0x4c500987d0a1229614e2e03045796ed33f9f473d,10,1,0,12135,,,,,
0xa50520aa4768793764812c23f4ff1c767ae4e4d4,10,1,0,10670,,,,,
0xbabc6f5f64127c759040db7f2e2e220f282b1aa4,11,1,1,6705,,,,,
0x70c27f9b13f499eccd69df7f846df064b088a224,10,1,0,9672,,,,,
0x58d1c17d8aabf3e61638dfeabb9e53f166016783,10,1,0,10145,,,,,
0x01b5e05083e85459ffa0b57baa312f51eaf0fe61,10,1,0,14534,,,,,
0x02567d98dba79f6acf3798521fb517aa6f40a888,10,1,0,82,,,,,
0x570c701416b28e2edd4ac40f25d0aa849ec74b85,10,1,0,4018,,,,,
0x61944104fdfd8e4d4611681bb7e2179cd78b91c9,10,1,0,9576,,,,,
0xe2af972a5e89205df669059782345ede6545e6c8,10,1,0,1325,,,,,
0x0800461adc25b729d69bcb3013c7f0477534a952,10,1,0,9721,,,,,
0x6c4aec6c0593e58992dd757df3eb8a7e78d29170,20,2,0,"12581, 9314",,,,,
0x318162615b77955f277216a21d21fd800065cd7b,10,1,0,12975,,,,,
0x830bfdb9200f96d3fec7683fafd194474565cba5,20,2,0,"4478, 6748",,,,,
0x1508354388a0622a64cfc6e7a29d5e6fd37d856f,10,1,0,8389,,,,,
0x6c4de5cbf5284959f6081d1647f316d430142e24,20,2,0,"4463, 5460",,,,,
0x034372f8376212b94844c988f4a817d396d8394b,10,1,0,8502,,,,,
0x3ad226427d6c1d8a53fb1948efcd7a98890fe8c1,20,2,0,"12046, 2230",,,,,
0x0ffae226b0d0565174f4bbda1edff63395939c9e,10,1,0,8425,,,,,
0x45ddff0190d30c33889460dccef840f68a41076d,10,1,0,548,,,,,
0xa6ceb2eb94d76643f2b30d92340b33e708806f10,10,1,0,6603,,,,,
0x037668ebcaaf2a9319000f680de5358247829b7a,20,2,0,"4672, 11263",,,,,
0x6cca90e06a9bc74cb83e2c02a6b28a749e98582e,11,1,1,13690,,,,,
0xf5063d3daef30de7bc067cf3344d1fbe64f7fadd,22,2,2,"5900, 6277",,,,,
0xfbe1e481ea31588c30aa3801ea168be1cc694a52,10,1,0,12243,,,,,
0xd20f0cc5647fbcd4a2b6c07bbe1b409d309ebe13,10,1,0,11647,,,,,
0x97c27c7cbb73940eda17325bf7e7152c74ac4182,10,1,0,7077,,,,,
0x502c6ad5609b6bfbb02be70ab84202232a7d9153,10,1,0,15925,,,,,
0x902735dfb5411c1ac068153886a526c61385ee88,10,1,0,8025,,,,,
0xae094af94d392952ee42e1449d1eebefb563da10,10,1,0,15380,,,,,
